
Id=4, Inv=19
Id=6239, Inv=46
Id=6264, Inv=28
Id=6265, Inv=58
Id=6312, Inv=20
Id=6545, Inv=74
Id=6566, Inv=70
Id=6597, Inv=57
Id=6673, Inv=26
Id=6700, Inv=46
Id=6773, Inv=97
Id=6806, Inv=79
Id=6824, Inv=27
Id=6835, Inv=94
Id=6947, Inv=68
Id=6977, Inv=84
Id=6992, Inv=76
Id=7049, Inv=98
Id=7171, Inv=16
Id=7209, Inv=92
Id=7229, Inv=45
Id=7282, Inv=73
Id=7292, Inv=73
Id=7416, Inv=49
Id=7461, Inv=37
Id=7489, Inv=30
Id=7500, Inv=69
Id=7522, Inv=35
Id=7531, Inv=14
Id=7541, Inv=16
Id=7601, Inv=56
Id=7664, Inv=19
Id=7694, Inv=98
Id=7695, Inv=60
Id=7728, Inv=1
Id=7760, Inv=80
Id=7830, Inv=48
Id=7883, Inv=88
Id=7895, Inv=57
Id=7897, Inv=3
Id=8023, Inv=96
Id=8101, Inv=55
Id=8104, Inv=46
Id=8173, Inv=11
Id=8228, Inv=41
Id=8303, Inv=90
Id=8370, Inv=61
Id=8544, Inv=34
Id=8564, Inv=54
Id=8580, Inv=73
Id=8722, Inv=66
Id=8737, Inv=6
Id=8746, Inv=62
Id=8851, Inv=48
Id=8887, Inv=8
Id=8989, Inv=79
Id=9056, Inv=29
Id=9057, Inv=42
Id=9132, Inv=26
Id=9147, Inv=67
Id=9195, Inv=74
Id=9204, Inv=79
Id=9267, Inv=68
Id=9282, Inv=73
Id=9284, Inv=97
Id=9285, Inv=96
Id=9301, Inv=23
Id=9303, Inv=9
Id=9350, Inv=1
Id=9351, Inv=8
Id=9419, Inv=5
Id=9439, Inv=17
Id=9443, Inv=78
Id=9601, Inv=27
Id=9667, Inv=14
Id=9677, Inv=24
Id=9785, Inv=26
Id=9820, Inv=77
Id=9861, Inv=16
Id=9915, Inv=61
Id=10199, Inv=26
Id=10205, Inv=28
Id=10421, Inv=55
Id=10431, Inv=26
Id=10610, Inv=76
Id=10627, Inv=28
Id=10629, Inv=19
Id=10660, Inv=60
Id=10742, Inv=31
Id=10841, Inv=77
Id=10885, Inv=46
Id=10940, Inv=79
Id=10944, Inv=18
Id=10976, Inv=31
Id=10999, Inv=12
Id=11038, Inv=13
Id=11040, Inv=81
Id=11184, Inv=27
Id=11193, Inv=3
Id=11250, Inv=54
Id=11263, Inv=41
Id=11303, Inv=47
Id=11367, Inv=65
Id=11413, Inv=27
Id=11421, Inv=20
Id=11466, Inv=20
Id=11485, Inv=39
Id=11549, Inv=88
Id=11561, Inv=50
Id=11584, Inv=32
Id=11645, Inv=27
Id=11686, Inv=88
Id=11827, Inv=59
Id=11893, Inv=41
Id=12024, Inv=5
Id=12045, Inv=32
Id=12115, Inv=82
Id=12258, Inv=96
Id=12290, Inv=52
Id=12328, Inv=63
Id=12545, Inv=38
Id=12578, Inv=27
Id=12693, Inv=77
Id=12705, Inv=14
Id=12747, Inv=94
Id=12809, Inv=12
Id=12917, Inv=63
Id=12933, Inv=61
Id=12943, Inv=51
Id=12954, Inv=34
Id=12989, Inv=73
Id=13066, Inv=8
Id=13087, Inv=97
Id=13208, Inv=9
Id=13314, Inv=82
Id=13317, Inv=66
Id=13520, Inv=38
Id=13603, Inv=67
Id=13632, Inv=95
Id=13639, Inv=57
Id=13642, Inv=73
Id=13681, Inv=34
Id=13708, Inv=53
Id=13722, Inv=76
Id=13824, Inv=28
Id=13886, Inv=21
Id=13918, Inv=27
Id=14000, Inv=30
Id=14035, Inv=86
Id=14088, Inv=92
Id=14092, Inv=48
Id=14123, Inv=14
Id=14151, Inv=82
Id=14196, Inv=90
Id=14211, Inv=10
Id=14237, Inv=37
Id=14271, Inv=54
Id=14410, Inv=93
Id=14491, Inv=91
Id=14525, Inv=89
Id=14554, Inv=17
Id=14658, Inv=42
Id=14732, Inv=16
Id=14733, Inv=8
Id=14784, Inv=61
Id=14871, Inv=55
Id=14896, Inv=81
Id=15006, Inv=53
Id=15040, Inv=67
Id=15047, Inv=29
Id=15135, Inv=44
Id=15141, Inv=87
Id=15157, Inv=7
Id=15189, Inv=7
Id=15226, Inv=4
Id=15248, Inv=46
Id=15309, Inv=13
Id=15320, Inv=82
Id=15460, Inv=98
Id=15539, Inv=13
Id=15559, Inv=33
Id=15621, Inv=69
Id=15677, Inv=26
Id=15685, Inv=66
Id=15703, Inv=40
Id=15733, Inv=43
Id=15755, Inv=85
Id=15759, Inv=55
Id=15763, Inv=33
Id=15785, Inv=49
Id=15814, Inv=60
Id=15917, Inv=51
Id=15954, Inv=52
Id=16053, Inv=97
Id=16145, Inv=97
Id=16184, Inv=14
Id=16195, Inv=43
Id=16251, Inv=64
Id=16255, Inv=10
Id=16258, Inv=91
Id=16265, Inv=85
Id=16316, Inv=8
Id=16337, Inv=20
Id=16388, Inv=52
Id=16394, Inv=76
Id=16395, Inv=79
Id=16465, Inv=37
Id=16501, Inv=40
Id=16515, Inv=73
Id=16525, Inv=42
Id=16526, Inv=5
Id=16536, Inv=61
Id=16542, Inv=85
Id=16590, Inv=62
Id=16600, Inv=14
Id=16601, Inv=33
Id=16634, Inv=32
Id=16662, Inv=50
Id=16773, Inv=32
Id=16822, Inv=54
Id=16842, Inv=88
Id=17095, Inv=32
Id=17147, Inv=39
Id=17254, Inv=83
Id=17314, Inv=96
Id=17324, Inv=2
Id=17345, Inv=91
Id=17383, Inv=92
Id=17441, Inv=67
Id=17444, Inv=27
Id=17470, Inv=78
Id=17620, Inv=25
Id=17753, Inv=70
Id=17770, Inv=82
Id=17911, Inv=96
Id=17914, Inv=12
Id=17995, Inv=95
Id=18014, Inv=87
Id=18060, Inv=29
Id=18061, Inv=3
Id=18181, Inv=60
Id=18227, Inv=22
Id=18252, Inv=87
Id=18306, Inv=47
Id=18363, Inv=56
Id=18366, Inv=64
Id=18378, Inv=4
Id=18401, Inv=31
Id=18406, Inv=7
Id=18410, Inv=56
Id=18465, Inv=27
Id=18524, Inv=34
Id=18533, Inv=15
Id=18591, Inv=84
Id=18605, Inv=90
Id=18618, Inv=64
Id=18674, Inv=69
Id=18721, Inv=38
Id=18761, Inv=45
Id=18871, Inv=69
Id=18985, Inv=34
Id=18995, Inv=56
Id=19003, Inv=54
Id=19031, Inv=13
Id=19053, Inv=47
Id=19122, Inv=42
Id=19149, Inv=99
Id=19156, Inv=21
Id=19187, Inv=62
Id=19190, Inv=39
Id=19236, Inv=77
Id=19250, Inv=90
Id=19272, Inv=60
Id=19366, Inv=30
Id=19384, Inv=10
Id=19402, Inv=96
Id=19418, Inv=93
Id=19426, Inv=24
Id=19465, Inv=69
Id=19480, Inv=64
Id=19481, Inv=6
Id=19537, Inv=81
Id=19623, Inv=88
Id=19633, Inv=66
Id=19675, Inv=35
Id=19712, Inv=45
Id=19816, Inv=97
Id=19905, Inv=81
Id=19939, Inv=17
Id=19951, Inv=43
Id=19967, Inv=45
Id=19970, Inv=25
Id=19972, Inv=30
